DistrictId,District,BlockId,Block,ClusterId,Cluster,SchoolId,School,SchoolCategory,SchoolManagement,TotalSchoolStudent,Class1_Boys,Class1_Girls,Class1_Transgender,Class1_Total,AsonDate
2404,MAHESANA,240402,KADI,2404020005,KADI KUMAR SHALA - 3,24040206603,Aadarsh Primary School English Medium,2,5,92,31,26,0,57,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020003,KADI KANYA SHALA - 4,24040206401,ADARSH GANDHI SMARAK KANYA SCH,2,3,39,0,9,0,9,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020005,KADI KUMAR SHALA - 3,24040206604,Adarsh Primary Hindi Medium SCHOOL,2,5,34,11,10,0,21,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020011,NAVAPURA (NA),24040209704,ADARSH PRIMARY SCHOOL - 2,2,5,32,0,11,0,11,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020008,KUNDAL,24040200301,ADUNDARA PRIMARY SCHOOL,2,3,24,3,1,0,4,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020010,MEDHA,24040200401,AGOL PRIMARY SCHOOL,2,3,72,5,2,0,7,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020008,KUNDAL,24040206202,AKDAS PRIMARY SCHOOL,2,5,46,22,20,0,42,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020008,KUNDAL,24040200501,ALDESAN PRIMARY SCHOOL,2,3,35,1,2,0,3,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020004,KADI KUMAR SHALA - 2,24040200601,ALUSANA PRIMARY SCHOOL,1,3,8,0,1,0,1,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020006,KALYANPURA,24040200701,AMARNAGAR PRIMARY SCHOOL,1,3,9,0,1,0,1,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020013,THOL,24040200801,AMBALIYARA PRIMARY SCHOOL,2,3,25,0,0,0,0,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020012,RAJPUR,24040200901,AMBAVPURA PRIMARY SCHOOL,2,3,16,2,1,0,3,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020007,KARANNAGAR,24040201001,ANAKHOL PRIMARY SCHOOL,2,3,24,0,0,0,0,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020001,DANGARWA,24040201101,ANANDPURA PRIMARY SCHOOL,2,3,21,3,0,0,3,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020010,MEDHA,24040209502,ANUDANIT NIVASI PRATHMIK SHALA NADAN,2,2,1,1,0,0,1,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020014,VISATPURA,24040201201,BABAJIPURA PRIMARY SCHOOL,2,3,16,0,0,0,0,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020004,KADI KUMAR SHALA - 2,24040201302,BALASAR COLONY PRI SCHOOL,1,3,3,0,0,0,0,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020004,KADI KUMAR SHALA - 2,24040201301,BALASAR PRIMARY SCHOOL,2,3,34,6,3,0,9,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020013,THOL,24040201401,BAPAIYARA PRIMARY SCHOOL,1,3,4,0,0,0,0,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020010,MEDHA,24040201501,BAVLU PRIMARY SCHOOL,2,3,60,0,3,0,3,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020014,VISATPURA,24040201701,BHALTHI DHARAMPUR PRI SCHOOL,2,3,9,0,0,0,0,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020012,RAJPUR,24040210802,BHAMARIYAPURA (R) PRI SCHOOL,2,3,41,4,2,0,6,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020005,KADI KUMAR SHALA - 3,24040206506,BHAVKUNJ SCHOOL,3,5,82,4,15,0,19,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020009,MEDA ADARAJ,24040201901,BORISANA PRIMARY SCHOOL,2,3,47,4,0,0,4,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020007,KARANNAGAR,24040202001,BUDASAN PRIMARY SCHOOL,2,3,48,8,1,0,9,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020012,RAJPUR,24040202101,CHADASANA PRIMARY SCHOOL,2,3,20,0,0,0,0,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020013,THOL,24040202301,CHANDANPURA PRIMARY SCH,1,3,11,0,5,0,5,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020012,RAJPUR,24040202401,CHANDARADA PRIMARY SCHOOL,2,3,49,2,2,0,4,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020010,MEDHA,24040202501,CHANDRASAN PRIMARY SCHOOL,2,3,35,0,0,0,0,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020009,MEDA ADARAJ,24040209003,CHAREDI PRI.SCHOOL,1,3,27,1,0,0,1,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020014,VISATPURA,24040202601,CHAROL PRIMARY SCHOOL,2,3,29,0,0,0,0,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020001,DANGARWA,24040202802,DANGARVA PRI KANYA SCHOOL,2,3,52,0,3,0,3,8/19/2026 12:26
